exercise_name,category,reps_min,reps_max,duration_min,duration_max
Jumping Jacks,warmup,10,20,0,0
High Knees,warmup,10,15,0,0
Arm Circles,warmup,8,12,0,0
Butt Kicks,warmup,10,15,0,0
Torso Twists,warmup,8,12,0,0
Lunges,warmup,6,10,0,0
Side Lunges,warmup,6,10,0,0
Hip Circles,warmup,8,12,0,0
Knee Lifts,warmup,10,15,0,0
Ankle Rotations,warmup,8,12,0,0
Jump Squats,warmup,6,10,0,0
Arm Swings,warmup,8,12,0,0
Burpees,exercise,6,10,0,0
Push-Ups,exercise,6,10,0,0
Squats,exercise,8,12,0,0
Mountain Climbers,exercise,10,15,0,0
Plank,exercise,0,0,30,60
Glute Bridges,exercise,8,12,0,0
Bicep Curls,exercise,8,12,0,0
Tricep Dips,exercise,8,12,0,0
Crunches,exercise,10,15,0,0
Russian Twists,exercise,10,20,0,0
Leg Raises,exercise,8,12,0,0
Side Plank,exercise,0,0,20,40
Reverse Lunges,exercise,6,10,0,0
Flutter Kicks,exercise,10,15,0,0
Standing Forward Bend,cooldown,1,2,0,0
Seated Hamstring Stretch,cooldown,1,2,0,0
Child's Pose,cooldown,1,2,0,0
Cat-Cow Stretch,cooldown,1,2,0,0
Shoulder Stretch,cooldown,1,2,0,0
Quad Stretch,cooldown,1,2,0,0
Cobra Stretch,cooldown,1,2,0,0
Butterfly Stretch,cooldown,1,2,0,0
Neck Stretch,cooldown,1,2,0,0
Calf Stretch,cooldown,1,2,0,0
Seated Twist,cooldown,1,2,0,0
Figure Four Stretch,cooldown,1,2,0,0
Single-arm incline lateral raise,exercise,8,12,0,0
UN Forward Lunge,exercise,8,12,0,0
Weighted Crunch - Gethin Variation,exercise,8,12,0,0
Dumbbell bent-over row,exercise,8,12,0,0
Dumbbell Get-Up Sit-Up,exercise,8,12,0,0
FYR Air Squat,exercise,8,12,0,0
HM Good Morning,exercise,8,12,0,0
Exercise ball squat and twist,exercise,8,12,0,0
HM Left Side-Kick,exercise,8,12,0,0
